Date,Machine_ID,Machine_Type,Production_Line,Install_Date,Last_Maintenance_Date,Avg_Error_Count_Monthly,Avg_Lifetime_Years,Plant_Number,Plant_Address
2020-02-29,Machine_1020,Drilling,Line_1,2015-01-26,2019-01-08,14,18,PL-123,"Suzhou, China"
2020-02-29,Machine_1021,Milling,Line_3,2016-09-05,2019-09-11,7,15,PL-123,"Suzhou, China"
2020-02-29,Machine_1022,Drilling,Line_4,2015-01-06,2019-08-21,12,8,PL-123,"Suzhou, China"
2020-02-29,Machine_1023,CNC,Line_1,2014-08-27,2019-12-13,11,8,PL-123,"Suzhou, China"
2020-02-29,Machine_1024,Drilling,Line_2,2018-10-01,2019-01-28,7,16,PL-123,"Suzhou, China"
2020-02-29,Machine_1025,Drilling,Line_2,2016-06-13,2019-06-19,14,18,PL-123,"Suzhou, China"
2020-02-29,Machine_1026,CNC,Line_2,2016-05-01,2019-11-22,9,14,PL-123,"Suzhou, China"
2020-02-29,Machine_1027,3D Printer,Line_1,2018-06-25,2019-07-20,11,8,PL-123,"Suzhou, China"
2020-02-29,Machine_1028,Drilling,Line_2,2017-08-09,2019-10-24,10,10,PL-123,"Suzhou, China"
2020-02-29,Machine_1029,Drilling,Line_4,2015-04-05,2019-04-18,2,18,PL-123,"Suzhou, China"
2020-02-29,Machine_1030,3D Printer,Line_2,2018-01-03,2019-03-28,13,13,PL-123,"Suzhou, China"
2020-02-29,Machine_1031,Drilling,Line_2,2016-05-19,2019-05-20,10,9,PL-123,"Suzhou, China"
2020-02-29,Machine_1032,Drilling,Line_4,2017-06-14,2019-12-21,1,16,PL-123,"Suzhou, China"
2020-02-29,Machine_1033,Drilling,Line_2,2018-05-26,2019-11-29,12,17,PL-123,"Suzhou, China"
2020-02-29,Machine_1034,Lathe,Line_4,2018-04-09,2019-05-31,3,14,PL-123,"Suzhou, China"
2020-02-29,Machine_1035,3D Printer,Line_2,2019-03-08,2019-02-06,14,18,PL-123,"Suzhou, China"
2020-02-29,Machine_1036,Drilling,Line_4,2018-09-18,2019-06-07,0,19,PL-123,"Suzhou, China"
2020-02-29,Machine_1037,3D Printer,Line_2,2016-12-14,2019-08-31,2,12,PL-123,"Suzhou, China"
2020-02-29,Machine_1038,Milling,Line_4,2017-05-24,2019-03-18,10,12,PL-123,"Suzhou, China"
2020-02-29,Machine_1039,Milling,Line_1,2015-09-13,2019-07-21,8,8,PL-123,"Suzhou, China"
2020-02-29,Machine_1040,Drilling,Line_4,2019-01-19,2019-07-11,6,19,PL-123,"Suzhou, China"
2020-02-29,Machine_1041,3D Printer,Line_2,2017-07-28,2019-05-15,6,15,PL-123,"Suzhou, China"
2020-02-29,Machine_1042,3D Printer,Line_2,2019-01-03,2019-09-23,0,14,PL-123,"Suzhou, China"
2020-02-29,Machine_1043,3D Printer,Line_3,2016-10-07,2019-07-09,6,13,PL-123,"Suzhou, China"
2020-02-29,Machine_1044,Lathe,Line_4,2016-02-06,2019-05-30,9,13,PL-123,"Suzhou, China"
2020-02-29,Machine_1045,Milling,Line_1,2019-08-24,2019-03-16,6,9,PL-123,"Suzhou, China"
2020-02-29,Machine_1046,3D Printer,Line_4,2015-07-25,2019-10-19,3,10,PL-123,"Suzhou, China"
2020-02-29,Machine_1047,3D Printer,Line_4,2016-03-30,2019-12-19,6,9,PL-123,"Suzhou, China"
2020-02-29,Machine_1048,Lathe,Line_1,2018-01-27,2019-07-19,7,7,PL-123,"Suzhou, China"
2020-02-29,Machine_1049,Lathe,Line_4,2014-10-19,2019-04-18,2,15,PL-123,"Suzhou, China"
2020-03-31,Machine_1000,3D Printer,Line_1,2016-03-08,2019-04-10,12,12,PL-123,"Suzhou, China"
2020-03-31,Machine_1001,CNC,Line_1,2015-04-08,2019-05-02,9,13,PL-123,"Suzhou, China"
2020-03-31,Machine_1002,3D Printer,Line_4,2015-02-07,2019-02-20,1,19,PL-123,"Suzhou, China"
2020-03-31,Machine_1003,3D Printer,Line_4,2015-11-06,2019-10-10,6,8,PL-123,"Suzhou, China"
2020-03-31,Machine_1004,Lathe,Line_2,2014-09-29,2019-06-19,4,13,PL-123,"Suzhou, China"
2020-03-31,Machine_1005,Lathe,Line_2,2018-05-10,2019-10-22,4,13,PL-123,"Suzhou, China"
2020-03-31,Machine_1006,3D Printer,Line_3,2015-04-22,2019-01-20,13,11,PL-123,"Suzhou, China"
2020-03-31,Machine_1007,3D Printer,Line_3,2014-09-22,2019-07-12,4,12,PL-123,"Suzhou, China"
2020-03-31,Machine_1008,3D Printer,Line_4,2016-09-11,2019-10-28,14,19,PL-123,"Suzhou, China"
2020-03-31,Machine_1009,Lathe,Line_1,2015-12-05,2019-09-03,6,7,PL-123,"Suzhou, China"
2020-03-31,Machine_1010,3D Printer,Line_3,2017-04-21,2019-05-19,8,19,PL-123,"Suzhou, China"
2020-03-31,Machine_1011,3D Printer,Line_4,2018-03-24,2019-04-27,10,9,PL-123,"Suzhou, China"
2020-03-31,Machine_1012,Drilling,Line_3,2015-12-28,2019-12-02,7,7,PL-123,"Suzhou, China"
2020-03-31,Machine_1013,CNC,Line_1,2017-06-07,2019-08-04,5,11,PL-123,"Suzhou, China"
2020-03-31,Machine_1014,Milling,Line_4,2015-10-24,2019-04-02,6,10,PL-123,"Suzhou, China"
2020-03-31,Machine_1015,CNC,Line_1,2015-10-06,2019-08-06,8,15,PL-123,"Suzhou, China"
2020-03-31,Machine_1016,Drilling,Line_4,2014-11-21,2019-10-14,13,7,PL-123,"Suzhou, China"
2020-03-31,Machine_1017,Milling,Line_3,2016-09-02,2019-08-27,10,13,PL-123,"Suzhou, China"
2020-03-31,Machine_1018,3D Printer,Line_2,2017-05-29,2019-06-08,5,16,PL-123,"Suzhou, China"
2020-03-31,Machine_1019,Drilling,Line_3,2018-01-18,2019-06-01,0,5,PL-123,"Suzhou, China"
2020-03-31,Machine_1020,3D Printer,Line_3,2018-08-08,2019-05-23,3,14,PL-123,"Suzhou, China"
2020-03-31,Machine_1021,Lathe,Line_2,2018-07-19,2019-10-28,7,7,PL-123,"Suzhou, China"
2020-03-31,Machine_1022,Drilling,Line_2,2017-11-15,2019-03-11,6,19,PL-123,"Suzhou, China"
2020-03-31,Machine_1023,Lathe,Line_4,2019-04-18,2019-03-05,2,19,PL-123,"Suzhou, China"
2020-03-31,Machine_1024,Drilling,Line_4,2019-09-10,2019-07-01,9,19,PL-123,"Suzhou, China"
2020-03-31,Machine_1025,Drilling,Line_1,2018-09-16,2019-01-10,2,15,PL-123,"Suzhou, China"
2020-03-31,Machine_1026,Lathe,Line_1,2019-02-11,2019-08-17,10,19,PL-123,"Suzhou, China"
2020-03-31,Machine_1027,Milling,Line_3,2015-07-18,2019-02-01,2,14,PL-123,"Suzhou, China"
2020-03-31,Machine_1028,CNC,Line_2,2016-09-22,2019-03-06,11,15,PL-123,"Suzhou, China"
2020-03-31,Machine_1029,3D Printer,Line_1,2016-03-30,2019-03-10,14,11,PL-123,"Suzhou, China"
2020-03-31,Machine_1030,Drilling,Line_3,2018-05-01,2019-05-11,0,7,PL-123,"Suzhou, China"
2020-03-31,Machine_1031,3D Printer,Line_2,2018-01-29,2019-10-20,14,18,PL-123,"Suzhou, China"
2020-03-31,Machine_1032,Lathe,Line_4,2019-02-20,2019-11-05,9,7,PL-123,"Suzhou, China"
2020-03-31,Machine_1033,3D Printer,Line_3,2015-04-12,2019-06-04,0,6,PL-123,"Suzhou, China"
2020-03-31,Machine_1034,Lathe,Line_4,2015-06-12,2019-01-20,5,13,PL-123,"Suzhou, China"
2020-03-31,Machine_1035,3D Printer,Line_1,2014-09-09,2019-10-24,13,15,PL-123,"Suzhou, China"
2020-03-31,Machine_1036,CNC,Line_1,2017-01-09,2019-04-10,13,8,PL-123,"Suzhou, China"
2020-03-31,Machine_1037,CNC,Line_2,2016-04-28,2019-10-19,0,14,PL-123,"Suzhou, China"
2020-03-31,Machine_1038,CNC,Line_3,2017-06-06,2019-04-28,4,17,PL-123,"Suzhou, China"
2020-03-31,Machine_1039,CNC,Line_4,2017-09-27,2019-03-09,3,10,PL-123,"Suzhou, China"
2020-03-31,Machine_1040,CNC,Line_2,2016-04-27,2019-11-15,4,6,PL-123,"Suzhou, China"
2020-03-31,Machine_1041,CNC,Line_1,2015-11-11,2019-11-28,6,13,PL-123,"Suzhou, China"
2020-03-31,Machine_1042,Lathe,Line_1,2018-03-19,2019-10-25,5,19,PL-123,"Suzhou, China"
2020-03-31,Machine_1043,Drilling,Line_3,2015-02-26,2019-03-01,11,11,PL-123,"Suzhou, China"
2020-03-31,Machine_1044,3D Printer,Line_4,2016-10-23,2019-07-18,8,14,PL-123,"Suzhou, China"
2020-03-31,Machine_1045,CNC,Line_3,2017-11-17,2019-10-27,5,9,PL-123,"Suzhou, China"
2020-03-31,Machine_1046,Lathe,Line_4,2017-05-04,2019-11-05,8,11,PL-123,"Suzhou, China"
2020-03-31,Machine_1047,Lathe,Line_4,2018-12-15,2019-01-29,3,18,PL-123,"Suzhou, China"
2020-03-31,Machine_1048,Lathe,Line_3,2016-10-07,2019-10-28,0,8,PL-123,"Suzhou, China"
2020-03-31,Machine_1049,Drilling,Line_2,2014-09-12,2019-10-19,0,17,PL-123,"Suzhou, China"
2020-04-30,Machine_1000,3D Printer,Line_3,2017-06-12,2019-03-30,9,14,PL-123,"Suzhou, China"
2020-04-30,Machine_1001,Drilling,Line_3,2018-04-05,2019-10-15,6,17,PL-123,"Suzhou, China"
2020-04-30,Machine_1002,Milling,Line_1,2016-09-22,2019-05-21,12,19,PL-123,"Suzhou, China"
2020-04-30,Machine_1003,Lathe,Line_1,2017-03-15,2019-09-25,12,11,PL-123,"Suzhou, China"
2020-04-30,Machine_1004,Milling,Line_3,2016-07-28,2019-03-17,12,6,PL-123,"Suzhou, China"
2020-04-30,Machine_1005,CNC,Line_3,2015-04-15,2019-04-10,2,11,PL-123,"Suzhou, China"
2020-04-30,Machine_1006,CNC,Line_1,2017-06-04,2019-07-16,1,19,PL-123,"Suzhou, China"
2020-04-30,Machine_1007,Drilling,Line_4,2015-10-05,2019-05-03,13,8,PL-123,"Suzhou, China"
2020-04-30,Machine_1008,3D Printer,Line_3,2017-02-18,2019-08-14,5,8,PL-123,"Suzhou, China"
2020-04-30,Machine_1009,Milling,Line_2,2017-11-28,2019-11-04,5,5,PL-123,"Suzhou, China"
2020-04-30,Machine_1010,3D Printer,Line_2,2015-01-10,2019-07-29,12,16,PL-123,"Suzhou, China"
2020-04-30,Machine_1011,Drilling,Line_2,2016-08-01,2019-02-10,6,7,PL-123,"Suzhou, China"
2020-04-30,Machine_1012,CNC,Line_3,2019-07-19,2019-12-21,4,9,PL-123,"Suzhou, China"
2020-04-30,Machine_1013,3D Printer,Line_4,2019-09-18,2019-01-28,7,9,PL-123,"Suzhou, China"
2020-04-30,Machine_1014,3D Printer,Line_4,2017-12-26,2019-07-31,6,6,PL-123,"Suzhou, China"
2020-04-30,Machine_1015,CNC,Line_1,2018-11-14,2019-10-23,1,8,PL-123,"Suzhou, China"
2020-04-30,Machine_1016,Milling,Line_3,2016-01-13,2019-03-25,14,5,PL-123,"Suzhou, China"
2020-04-30,Machine_1017,CNC,Line_4,2018-03-08,2019-11-04,0,19,PL-123,"Suzhou, China"
2020-04-30,Machine_1018,3D Printer,Line_3,2015-05-06,2019-01-25,12,13,PL-123,"Suzhou, China"
2020-04-30,Machine_1019,Milling,Line_1,2017-06-20,2019-08-14,13,5,PL-123,"Suzhou, China"
2020-04-30,Machine_1020,Milling,Line_1,2018-05-06,2019-11-10,8,10,PL-123,"Suzhou, China"
2020-04-30,Machine_1021,CNC,Line_1,2016-09-13,2019-10-27,4,11,PL-123,"Suzhou, China"
2020-04-30,Machine_1022,3D Printer,Line_2,2015-04-15,2019-11-03,11,7,PL-123,"Suzhou, China"
2020-04-30,Machine_1023,Drilling,Line_3,2016-12-02,2019-06-28,10,16,PL-123,"Suzhou, China"
2020-04-30,Machine_1024,3D Printer,Line_1,2019-03-04,2019-03-05,4,19,PL-123,"Suzhou, China"
2020-04-30,Machine_1025,Lathe,Line_3,2017-12-01,2019-11-07,11,5,PL-123,"Suzhou, China"
2020-04-30,Machine_1026,Drilling,Line_2,2017-07-11,2019-07-06,9,11,PL-123,"Suzhou, China"
2020-04-30,Machine_1027,Milling,Line_2,2018-08-16,2019-03-27,3,7,PL-123,"Suzhou, China"
2020-04-30,Machine_1028,Drilling,Line_1,2016-08-23,2019-01-21,1,17,PL-123,"Suzhou, China"
2020-04-30,Machine_1029,Milling,Line_1,2018-04-06,2019-08-06,4,14,PL-123,"Suzhou, China"
2020-04-30,Machine_1030,Milling,Line_4,2015-12-02,2019-04-20,1,16,PL-123,"Suzhou, China"
2020-04-30,Machine_1031,Drilling,Line_3,2016-05-06,2019-07-28,11,16,PL-123,"Suzhou, China"
2020-04-30,Machine_1032,Milling,Line_1,2018-02-24,2019-05-07,6,10,PL-123,"Suzhou, China"
2020-04-30,Machine_1033,Milling,Line_4,2016-05-09,2019-03-18,10,17,PL-123,"Suzhou, China"
2020-04-30,Machine_1034,Lathe,Line_3,2017-08-22,2019-08-20,8,16,PL-123,"Suzhou, China"
2020-04-30,Machine_1035,3D Printer,Line_1,2019-05-30,2019-06-14,8,18,PL-123,"Suzhou, China"
2020-04-30,Machine_1036,3D Printer,Line_4,2018-01-04,2019-10-04,10,10,PL-123,"Suzhou, China"
2020-04-30,Machine_1037,Lathe,Line_4,2017-09-05,2019-09-20,5,18,PL-123,"Suzhou, China"
2020-04-30,Machine_1038,Drilling,Line_3,2015-08-14,2019-05-11,0,16,PL-123,"Suzhou, China"
2020-04-30,Machine_1039,CNC,Line_4,2019-06-11,2019-10-19,12,8,PL-123,"Suzhou, China"
2020-04-30,Machine_1040,CNC,Line_3,2018-05-17,2019-09-26,5,16,PL-123,"Suzhou, China"
2020-04-30,Machine_1041,CNC,Line_3,2014-10-25,2019-09-26,4,15,PL-123,"Suzhou, China"
2020-04-30,Machine_1042,Lathe,Line_3,2019-08-09,2019-06-05,3,10,PL-123,"Suzhou, China"
2020-04-30,Machine_1043,Lathe,Line_2,2017-06-23,2019-05-23,11,15,PL-123,"Suzhou, China"
2020-04-30,Machine_1044,Milling,Line_4,2016-01-08,2019-06-02,5,14,PL-123,"Suzhou, China"
2020-04-30,Machine_1045,CNC,Line_3,2016-05-02,2019-09-25,5,8,PL-123,"Suzhou, China"
2020-04-30,Machine_1046,Drilling,Line_1,2017-01-15,2019-10-23,13,19,PL-123,"Suzhou, China"
2020-04-30,Machine_1047,Drilling,Line_2,2017-02-06,2019-03-27,5,17,PL-123,"Suzhou, China"
2020-04-30,Machine_1048,CNC,Line_2,2015-07-31,2019-09-20,1,12,PL-123,"Suzhou, China"
2020-04-30,Machine_1049,CNC,Line_4,2014-09-13,2019-02-19,14,13,PL-123,"Suzhou, China"
2020-05-31,Machine_1000,CNC,Line_3,2017-06-01,2019-11-26,13,6,PL-123,"Suzhou, China"
2020-05-31,Machine_1001,Lathe,Line_4,2018-07-02,2019-05-23,6,11,PL-123,"Suzhou, China"
2020-05-31,Machine_1002,Lathe,Line_2,2018-04-06,2019-10-10,13,13,PL-123,"Suzhou, China"
2020-05-31,Machine_1003,Lathe,Line_3,2018-05-01,2019-10-23,3,13,PL-123,"Suzhou, China"
2020-05-31,Machine_1004,3D Printer,Line_1,2015-09-03,2019-06-20,12,16,PL-123,"Suzhou, China"
2020-05-31,Machine_1005,Drilling,Line_3,2015-06-06,2019-11-22,14,9,PL-123,"Suzhou, China"
2020-05-31,Machine_1006,Drilling,Line_2,2015-06-17,2019-05-18,11,5,PL-123,"Suzhou, China"
2020-05-31,Machine_1007,Milling,Line_1,2018-04-02,2019-12-11,8,10,PL-123,"Suzhou, China"
2020-05-31,Machine_1008,Lathe,Line_3,2015-08-08,2019-02-24,9,19,PL-123,"Suzhou, China"
2020-05-31,Machine_1009,3D Printer,Line_1,2019-09-08,2019-11-21,1,12,PL-123,"Suzhou, China"
2020-05-31,Machine_1010,3D Printer,Line_1,2015-05-13,2019-07-16,4,5,PL-123,"Suzhou, China"
2020-05-31,Machine_1011,Drilling,Line_2,2019-01-24,2019-04-30,13,6,PL-123,"Suzhou, China"
2020-05-31,Machine_1012,Lathe,Line_1,2016-05-11,2019-05-10,3,17,PL-123,"Suzhou, China"
2020-05-31,Machine_1013,Milling,Line_4,2017-03-26,2019-06-25,8,17,PL-123,"Suzhou, China"
2020-05-31,Machine_1014,Lathe,Line_2,2016-03-08,2019-02-09,3,5,PL-123,"Suzhou, China"
2020-05-31,Machine_1015,CNC,Line_4,2017-08-24,2019-11-07,7,9,PL-123,"Suzhou, China"
2020-05-31,Machine_1016,Lathe,Line_1,2014-10-17,2019-01-16,7,6,PL-123,"Suzhou, China"
2020-05-31,Machine_1017,CNC,Line_4,2017-10-19,2019-10-04,5,19,PL-123,"Suzhou, China"
2020-05-31,Machine_1018,CNC,Line_3,2014-08-10,2019-08-10,5,14,PL-123,"Suzhou, China"
2020-05-31,Machine_1019,Milling,Line_1,2014-12-05,2019-04-07,10,14,PL-123,"Suzhou, China"
2020-05-31,Machine_1020,Drilling,Line_3,2019-06-01,2019-02-18,7,18,PL-123,"Suzhou, China"
2020-05-31,Machine_1021,Lathe,Line_4,2015-05-04,2019-04-20,11,8,PL-123,"Suzhou, China"
2020-05-31,Machine_1022,CNC,Line_3,2016-02-09,2019-07-17,12,5,PL-123,"Suzhou, China"
2020-05-31,Machine_1023,Lathe,Line_1,2014-08-20,2019-06-03,11,11,PL-123,"Suzhou, China"
2020-05-31,Machine_1024,Drilling,Line_3,2015-08-09,2019-09-02,9,12,PL-123,"Suzhou, China"
2020-05-31,Machine_1025,Drilling,Line_4,2018-08-23,2019-03-06,8,9,PL-123,"Suzhou, China"
2020-05-31,Machine_1026,3D Printer,Line_4,2018-08-26,2019-02-16,14,6,PL-123,"Suzhou, China"
2020-05-31,Machine_1027,Drilling,Line_4,2016-09-20,2019-08-26,4,12,PL-123,"Suzhou, China"
2020-05-31,Machine_1028,Milling,Line_1,2017-01-19,2019-12-06,10,5,PL-123,"Suzhou, China"
2020-05-31,Machine_1029,CNC,Line_4,2015-08-10,2019-01-26,0,19,PL-123,"Suzhou, China"
2020-05-31,Machine_1030,3D Printer,Line_1,2016-08-23,2019-05-10,0,11,PL-123,"Suzhou, China"
2020-05-31,Machine_1031,Milling,Line_3,2018-12-01,2019-08-28,14,5,PL-123,"Suzhou, China"
2020-05-31,Machine_1032,Lathe,Line_4,2016-12-26,2019-11-10,1,16,PL-123,"Suzhou, China"
2020-05-31,Machine_1033,CNC,Line_3,2019-03-30,2019-08-30,9,10,PL-123,"Suzhou, China"
2020-05-31,Machine_1034,Drilling,Line_2,2016-05-03,2019-03-15,9,17,PL-123,"Suzhou, China"
2020-05-31,Machine_1035,CNC,Line_3,2017-01-30,2019-11-16,4,10,PL-123,"Suzhou, China"
2020-05-31,Machine_1036,Lathe,Line_2,2018-11-13,2019-02-24,3,19,PL-123,"Suzhou, China"
2020-05-31,Machine_1037,3D Printer,Line_3,2016-10-26,2019-09-01,0,9,PL-123,"Suzhou, China"
2020-05-31,Machine_1038,3D Printer,Line_1,2019-01-08,2019-11-18,3,19,PL-123,"Suzhou, China"
2020-05-31,Machine_1039,3D Printer,Line_3,2014-12-19,2019-08-13,3,6,PL-123,"Suzhou, China"
2020-05-31,Machine_1040,Drilling,Line_1,2019-09-17,2019-01-21,9,6,PL-123,"Suzhou, China"
2020-05-31,Machine_1041,Milling,Line_1,2019-08-06,2019-01-21,3,13,PL-123,"Suzhou, China"
2020-05-31,Machine_1042,Milling,Line_4,2015-06-15,2019-05-09,0,9,PL-123,"Suzhou, China"
